Date,carat,cut,color,clarity,x,y,z,price,GemstoneNames
04/01/2018,0.51,Ideal,red,SI2,5.23,5.17,3.11,1359,Zircon
04/01/2018,0.32,Premium,White,SI1,4.37,4.41,2.73,365,Zircon
04/01/2018,0.57,Ideal,purple,VVS1,5.36,5.44,3.3,3057,Cat's Eye
04/01/2018,0.44,Ideal,Pink,VVS2,4.9,4.93,2.99,912,Sapphire
04/01/2018,0.52,Ideal,purple,VS2,5.12,5.16,3.21,1629,Sapphire
04/01/2018,0.7,Premium,blue,VS1,5.91,5.83,3.43,2854,Topaz
04/01/2018,0.57,Very Good,yellow,SI2,5.39,5.42,3.21,1214,Sapphire
04/01/2018,1.22,Ideal,yellow,VS2,6.88,6.83,4.25,8062,Ruby
04/01/2018,0.59,Ideal,blue,SI1,5.37,5.4,3.34,1664,Topaz
04/01/2018,0.51,Ideal,yellow,VS2,5.11,5.18,3.19,1343,Ruby
04/01/2018,1.2,Premium,yellow,SI1,6.8,6.7,4.2,5154,Alexandrite
04/01/2018,2.16,Premium,Green,SI2,8.29,8.22,5.14,11473,Cat's Eye
05/01/2018,0.31,Very Good,yellow,VS1,4.39,4.42,2.67,640,Topaz
05/01/2018,0.4,Ideal,Green,VVS2,4.72,4.77,2.92,905,Cat's Eye
05/01/2018,1.68,Ideal,Pink,VS2,7.6,7.54,4.7,10800,Sapphire
05/01/2018,0.9,Very Good,red,SI2,6.08,6.17,3.89,3918,Zircon
05/01/2018,0.43,Very Good,blue,VS2,4.81,4.87,3.01,869,Zircon
05/01/2018,0.76,Ideal,Green,VS2,5.85,5.88,3.64,3016,Ruby
05/01/2018,0.74,Ideal,blue,SI2,5.92,5.97,3.52,2501,Alexandrite
05/01/2018,1.26,Ideal,White,VS2,6.86,6.81,4.32,5306,Zircon
05/01/2018,0.41,Very Good,Pink,VVS2,4.75,4.72,2.99,1061,Topaz
05/01/2018,0.3,Ideal,Green,VVS1,4.34,4.37,2.69,665,Alexandrite
05/01/2018,0.5,Ideal,purple,VVS2,5.06,5.08,3.16,1850,Zircon
05/01/2018,0.54,Ideal,blue,SI1,5.24,5.19,3.24,1637,Alexandrite
05/01/2018,0.4,Very Good,red,VVS2,4.77,4.82,2.85,977,Cat's Eye
05/01/2018,1.51,Very Good,Green,SI1,7.3,7.35,4.52,9218,Alexandrite
05/01/2018,0.5,Very Good,blue,VVS2,5.07,5.11,3.1,2003,Spinel
05/01/2018,0.33,Ideal,blue,VS1,4.47,4.5,2.73,850,Zircon
05/01/2018,0.9,Ideal,yellow,VVS1,6.24,6.16,3.82,5564,Sapphire
05/01/2018,0.72,Very Good,Pink,SI1,5.71,5.75,3.62,2345,Sapphire
05/01/2018,0.51,Ideal,yellow,VS2,5.15,5.18,3.19,1557,Spinel
05/01/2018,0.5,Good,yellow,SI1,5.02,5.06,3.22,1197,Zircon
06/01/2018,1.02,Fair,White,SI1,6.25,6.18,4.15,3027,Alexandrite
06/01/2018,0.7,Fair,blue,SI1,5.57,5.54,3.62,2318,Topaz
06/01/2018,1.69,Ideal,purple,VS2,7.59,7.66,4.74,16789,Ruby
06/01/2018,1.3,Premium,yellow,VVS1,7.01,7.05,4.25,11061,Cat's Eye
06/01/2018,0.31,Ideal,red,VS1,4.37,4.4,2.68,774,Zircon
06/01/2018,1.22,Ideal,yellow,VS1,6.93,6.94,4.21,9002,Cat's Eye
06/01/2018,1.0,Premium,purple,VVS2,6.56,6.52,3.96,8924,Sapphire
06/01/2018,0.28,Very Good,yellow,SI1,4.2,4.25,2.62,382,Spinel
06/01/2018,1.01,Good,blue,SI1,6.31,6.34,4.07,4766,Topaz
06/01/2018,0.41,Very Good,Green,VVS2,4.77,4.81,2.97,873,Spinel
06/01/2018,0.55,Very Good,blue,SI1,5.31,5.41,3.2,1559,Zircon
06/01/2018,1.39,Premium,yellow,VS2,7.18,7.14,4.44,8874,Topaz
06/01/2018,0.36,Very Good,Green,SI2,4.59,4.62,2.81,475,Cat's Eye
06/01/2018,0.23,Very Good,blue,VVS2,4.03,4.07,2.43,530,Ruby
06/01/2018,1.37,Premium,yellow,VS2,7.11,7.04,4.36,7951,Cat's Eye
06/01/2018,0.31,Ideal,blue,VVS1,4.4,4.43,2.66,865,Alexandrite
06/01/2018,0.81,Premium,purple,SI1,5.97,5.95,3.69,3043,Ruby
06/01/2018,1.0,Premium,purple,SI1,6.4,6.36,4.0,5292,Ruby
06/01/2018,0.31,Ideal,yellow,VVS1,4.38,4.34,2.67,1046,Alexandrite
06/01/2018,2.02,Very Good,White,SI2,8.05,8.11,5.04,11757,Cat's Eye
07/01/2018,0.34,Ideal,Green,IF,4.5,4.51,2.78,863,Ruby
07/01/2018,0.3,Ideal,yellow,VVS1,4.3,4.34,2.65,789,Alexandrite
07/01/2018,1.68,Premium,purple,SI1,7.72,7.66,4.67,12681,Alexandrite
07/01/2018,0.77,Ideal,blue,SI2,6.01,5.95,3.63,2834,Spinel
07/01/2018,2.8,Premium,Pink,SI2,9.03,8.98,5.5,15030,Ruby
07/01/2018,0.9,Premium,Pink,VS2,6.19,6.13,3.77,3338,Zircon
07/01/2018,0.76,Very Good,blue,SI1,5.76,5.8,3.64,2668,Sapphire
07/01/2018,0.55,Premium,yellow,SI2,5.35,5.33,3.22,1186,Zircon
07/01/2018,0.31,Fair,yellow,VVS2,4.25,4.24,2.78,629,Cat's Eye
07/01/2018,0.4,Premium,red,SI2,4.8,4.83,2.91,666,Topaz
07/01/2018,1.56,Premium,yellow,VS2,7.44,7.4,4.59,13299,Cat's Eye
07/01/2018,0.3,Ideal,yellow,VVS2,4.26,4.29,2.68,684,Sapphire
07/01/2018,0.31,Ideal,blue,VS1,4.34,4.33,2.68,942,Sapphire
07/01/2018,0.31,Ideal,blue,VVS1,4.38,4.4,2.69,1105,Alexandrite
07/01/2018,0.3,Ideal,Green,VS1,4.27,4.3,2.64,526,Alexandrite
07/01/2018,2.2,Ideal,yellow,SI2,8.54,8.49,5.1,14691,Spinel
07/01/2018,0.73,Very Good,blue,VS1,5.71,5.79,3.57,3353,Zircon
07/01/2018,0.9,Good,Green,VS2,6.15,6.24,3.81,4156,Spinel
07/01/2018,0.75,Ideal,purple,VS2,5.8,5.82,3.61,3081,Zircon
07/01/2018,0.5,Very Good,red,SI1,5.11,5.14,3.09,1415,Topaz
08/01/2018,0.4,Ideal,blue,VS2,4.78,4.75,2.92,1150,Cat's Eye
08/01/2018,0.41,Ideal,red,VVS2,4.76,4.74,2.96,1356,Ruby
08/01/2018,0.41,Premium,blue,VS1,4.74,4.76,2.96,1079,Topaz
08/01/2018,0.36,Premium,White,SI1,4.59,4.52,2.79,541,Topaz
08/01/2018,1.71,Ideal,yellow,VS1,7.65,7.58,4.8,17009,Spinel
08/01/2018,1.02,Premium,Green,SI1,6.5,6.44,3.9,4558,Spinel
08/01/2018,0.59,Very Good,purple,SI1,5.39,5.43,3.34,1412,Ruby
08/01/2018,0.9,Very Good,red,VS2,6.06,6.13,3.84,4668,Zircon
08/01/2018,1.11,Premium,blue,SI2,6.66,6.61,4.09,4177,Alexandrite
08/01/2018,0.9,Very Good,purple,SI1,6.08,6.11,3.81,3950,Spinel
08/01/2018,0.92,Very Good,blue,VS1,6.22,6.25,3.8,5453,Zircon
08/01/2018,1.45,Very Good,White,VS2,7.14,7.17,4.49,6671,Ruby
08/01/2018,1.16,Ideal,Pink,VS2,6.78,6.75,4.16,5302,Spinel
08/01/2018,1.01,Premium,blue,SI2,6.45,6.4,3.96,4751,Zircon
08/01/2018,0.7,Ideal,red,VVS2,5.69,5.73,3.48,3737,Topaz
08/01/2018,0.32,Ideal,yellow,IF,4.42,4.44,2.72,898,Ruby
08/01/2018,0.91,Very Good,yellow,SI2,6.27,6.32,3.78,3531,Spinel
08/01/2018,0.58,Ideal,red,SI2,5.32,5.3,3.33,1442,Spinel
08/01/2018,0.51,Ideal,blue,SI1,5.14,5.09,3.19,1443,Sapphire
08/01/2018,0.31,Ideal,purple,VS2,4.27,4.33,2.69,625,Spinel
09/01/2018,0.97,Ideal,yellow,SI2,6.31,6.28,3.95,4101,Ruby
09/01/2018,1.03,Ideal,White,SI2,6.44,6.48,4.03,4054,Topaz
09/01/2018,0.3,Good,blue,VVS2,4.34,4.29,2.58,814,Zircon
09/01/2018,1.0,Very Good,purple,VS2,6.39,6.44,3.99,6340,Sapphire
09/01/2018,0.5,Very Good,blue,VS1,4.98,5.03,3.2,1604,Spinel
09/01/2018,0.59,Ideal,Pink,VVS1,5.42,5.46,3.33,2049,Cat's Eye
09/01/2018,0.26,Very Good,blue,VS2,4.15,4.19,2.52,452,Zircon
09/01/2018,1.0,Good,red,VS1,6.27,6.21,3.99,6250,Alexandrite
09/01/2018,0.9,Very Good,red,SI1,6.13,6.1,3.73,4304,Spinel
09/01/2018,0.31,Ideal,red,SI1,4.36,4.38,2.71,571,Spinel
09/01/2018,1.53,Very Good,purple,SI1,7.55,7.62,4.44,11713,Zircon
09/01/2018,0.81,Ideal,purple,SI1,5.98,6.01,3.71,2977,Ruby
09/01/2018,0.32,Very Good,purple,VS2,4.37,4.42,2.7,556,Alexandrite
09/01/2018,0.7,Very Good,purple,SI1,5.73,5.77,3.47,2343,Topaz
09/01/2018,1.0,Fair,purple,VS2,5.98,5.95,4.08,4312,Cat's Eye
09/01/2018,0.34,Very Good,yellow,VS1,4.48,4.53,2.72,686,Spinel
09/01/2018,0.71,Ideal,yellow,SI1,5.72,5.64,3.55,2215,Topaz
09/01/2018,0.5,Fair,blue,SI1,4.87,4.9,3.25,1098,Zircon
09/01/2018,0.32,Ideal,blue,VVS2,4.41,4.43,2.74,790,Zircon
09/01/2018,1.63,Ideal,Pink,SI1,7.64,7.56,4.66,9694,Ruby
10/01/2018,0.96,Ideal,purple,VS1,6.34,6.38,3.89,5767,Alexandrite
10/01/2018,1.24,Premium,Green,SI2,7.02,6.87,4.25,5694,Zircon
10/01/2018,0.51,Very Good,Green,VS1,5.1,5.12,3.18,1628,Ruby
10/01/2018,0.4,Good,Green,VS2,4.75,4.66,2.97,717,Sapphire
10/01/2018,1.21,Very Good,Pink,SI1,6.76,6.69,4.26,4404,Alexandrite
10/01/2018,0.43,Ideal,blue,SI1,4.82,4.79,3.01,975,Spinel
10/01/2018,0.72,Ideal,purple,SI1,5.74,5.77,3.55,2470,Ruby
10/01/2018,0.75,Very Good,Pink,SI1,5.73,5.77,3.66,2300,Alexandrite
10/01/2018,0.42,Ideal,yellow,VVS2,4.86,4.88,2.95,933,Zircon
10/01/2018,0.9,Ideal,blue,SI1,6.21,6.24,3.84,4940,Alexandrite
10/01/2018,0.32,Ideal,red,VS2,4.38,4.43,2.72,758,Topaz
10/01/2018,0.39,Premium,blue,VS2,4.64,4.67,2.91,889,Cat's Eye
10/01/2018,1.01,Very Good,Pink,SI2,6.34,6.31,4.0,3309,Spinel
10/01/2018,0.61,Ideal,purple,VVS2,5.45,5.48,3.37,2833,Topaz
10/01/2018,0.54,Ideal,purple,VVS2,5.27,5.25,3.25,2333,Cat's Eye
10/01/2018,0.71,Ideal,blue,VS2,5.72,5.77,3.56,3421,Spinel
10/01/2018,1.01,Very Good,yellow,VS1,6.52,6.61,3.86,6777,Topaz
10/01/2018,0.24,Ideal,purple,VVS2,4.0,4.09,2.49,552,Ruby
10/01/2018,0.24,Ideal,purple,VVS1,4.0,4.03,2.48,678,Ruby
10/01/2018,0.58,Premium,purple,VS2,5.4,5.31,3.33,1586,Cat's Eye
11/01/2018,1.01,Good,blue,SI2,6.38,6.31,4.05,4118,Zircon
11/01/2018,0.9,Very Good,White,SI1,6.07,6.1,3.87,3225,Sapphire
11/01/2018,0.72,Ideal,yellow,SI2,5.79,5.82,3.57,2420,Sapphire
11/01/2018,0.7,Very Good,yellow,VS2,5.64,5.61,3.55,2657,Cat's Eye
11/01/2018,2.01,Premium,yellow,SI2,8.19,8.15,4.85,15562,Cat's Eye
11/01/2018,0.51,Very Good,yellow,VS2,5.07,5.09,3.17,1438,Spinel
11/01/2018,1.2,Premium,blue,VS2,6.82,6.78,4.23,8602,Cat's Eye
11/01/2018,1.24,Ideal,yellow,VS2,6.87,6.84,4.25,9188,Ruby
11/01/2018,1.26,Very Good,yellow,SI1,6.87,6.81,4.32,7000,Cat's Eye
11/01/2018,0.33,Ideal,purple,VS2,4.43,4.47,2.73,666,Topaz
11/01/2018,0.58,Ideal,blue,SI1,5.33,5.38,3.3,1636,Spinel
11/01/2018,0.41,Ideal,yellow,VS1,4.81,4.76,2.96,961,Alexandrite
11/01/2018,1.19,Ideal,yellow,VVS2,6.84,6.81,4.15,9524,Zircon
11/01/2018,0.9,Very Good,yellow,SI2,6.21,6.26,3.81,3445,Topaz
11/01/2018,1.52,Premium,Pink,SI1,7.42,7.37,4.58,8631,Zircon
11/01/2018,1.5,Very Good,purple,VS1,7.39,7.48,4.5,15585,Sapphire
11/01/2018,1.22,Ideal,Pink,SI1,6.8,6.82,4.24,6398,Topaz
11/01/2018,0.3,Very Good,yellow,IF,4.21,4.25,2.66,895,Alexandrite
11/01/2018,1.0,Very Good,blue,VS1,6.39,6.41,4.03,7453,Alexandrite
11/01/2018,0.24,Very Good,Green,VVS2,4.02,4.04,2.47,449,Zircon
12/01/2018,1.01,Very Good,blue,VS2,6.37,6.31,4.02,6787,Ruby
12/01/2018,1.7,Ideal,White,SI2,7.74,7.84,4.71,8505,Spinel
12/01/2018,0.55,Premium,blue,VS2,5.29,5.27,3.24,1881,Cat's Eye
12/01/2018,0.34,Very Good,blue,SI1,4.53,4.56,2.74,596,Ruby
12/01/2018,0.44,Ideal,red,VVS1,4.91,4.93,3.0,2290,Cat's Eye
12/01/2018,0.79,Ideal,red,SI1,5.94,6.0,3.65,3209,Topaz
12/01/2018,0.67,Good,purple,VS1,5.62,5.69,3.38,2479,Alexandrite
12/01/2018,0.31,Premium,Green,SI1,4.39,4.33,2.66,558,Ruby
12/01/2018,1.22,Ideal,Green,SI1,6.82,6.87,4.24,7870,Sapphire
12/01/2018,1.5,Good,Green,SI2,7.39,7.49,4.45,6798,Ruby
12/01/2018,0.9,Ideal,yellow,SI2,6.15,6.2,3.86,3521,Sapphire
12/01/2018,0.38,Ideal,purple,VS2,4.64,4.66,2.89,870,Cat's Eye
12/01/2018,1.01,Ideal,yellow,VS1,6.45,6.4,3.97,6618,Sapphire
12/01/2018,0.3,Ideal,purple,VVS2,4.32,4.34,2.67,694,Alexandrite
12/01/2018,0.71,Good,blue,SI2,5.75,5.88,3.42,2120,Cat's Eye
12/01/2018,1.21,Premium,Green,IF,6.83,6.8,4.24,8446,Alexandrite
12/01/2018,1.0,Ideal,purple,VS2,6.4,6.35,3.99,6804,Cat's Eye
12/01/2018,0.9,Very Good,red,SI2,6.12,6.22,3.72,3534,Alexandrite
12/01/2018,0.91,Very Good,Green,VS1,6.18,6.12,3.9,4224,Ruby
12/01/2018,0.41,Ideal,red,VVS2,4.75,4.72,2.96,1181,Alexandrite
13/01/2018,0.39,Ideal,blue,SI1,4.74,4.75,2.9,628,Spinel
13/01/2018,1.28,Premium,Green,SI2,7.13,7.03,4.26,6093,Sapphire
13/01/2018,0.32,Very Good,yellow,VS2,4.42,4.45,2.7,564,Alexandrite
13/01/2018,0.25,Good,red,VVS2,4.16,4.19,2.4,548,Alexandrite
13/01/2018,1.01,Very Good,yellow,VVS1,6.47,6.41,3.98,8373,Ruby
13/01/2018,0.31,Ideal,Green,SI1,4.39,4.42,2.71,464,Alexandrite
13/01/2018,0.9,Ideal,blue,SI2,6.13,6.2,3.86,3808,Spinel
13/01/2018,0.71,Ideal,Pink,SI1,5.7,5.75,3.56,2376,Zircon
13/01/2018,0.44,Good,blue,VS2,5.01,4.94,2.93,1001,Sapphire
13/01/2018,0.33,Premium,Pink,VVS2,4.45,4.41,2.75,743,Alexandrite
13/01/2018,0.56,Ideal,yellow,IF,5.3,5.32,3.29,2442,Topaz
13/01/2018,0.24,Very Good,blue,VVS2,4.07,4.1,2.45,552,Cat's Eye
13/01/2018,0.36,Very Good,purple,SI1,4.64,4.67,2.83,641,Zircon
13/01/2018,0.41,Ideal,red,VS2,4.73,4.7,2.96,1076,Topaz
13/01/2018,0.31,Ideal,purple,IF,4.35,4.38,2.71,921,Ruby
13/01/2018,0.52,Very Good,yellow,VS1,5.14,5.17,3.21,1629,Ruby
13/01/2018,0.43,Ideal,red,SI1,4.86,4.82,2.98,1036,Topaz
13/01/2018,1.53,Premium,yellow,VS1,7.43,7.4,4.52,14344,Topaz
13/01/2018,0.41,Ideal,Pink,IF,4.78,4.81,2.93,953,Alexandrite
13/01/2018,0.59,Ideal,blue,VS2,5.38,5.4,3.31,1657,Ruby
14/01/2018,0.4,Very Good,purple,SI1,4.69,4.66,2.95,882,Sapphire
14/01/2018,0.71,Premium,red,VS2,5.88,5.85,3.44,2968,Alexandrite
14/01/2018,1.09,Ideal,purple,VVS2,6.6,6.52,4.1,9845,Topaz
14/01/2018,2.11,Premium,yellow,SI2,8.19,8.15,5.08,16336,Cat's Eye
14/01/2018,0.34,Ideal,yellow,VVS1,4.53,4.56,2.75,844,Sapphire
14/01/2018,0.71,Very Good,blue,SI2,5.68,5.73,3.55,2313,Sapphire
14/01/2018,0.43,Ideal,red,VS2,4.86,4.81,3.0,1129,Alexandrite
14/01/2018,0.38,Ideal,Green,SI1,4.68,4.63,2.85,834,Cat's Eye
14/01/2018,1.17,Very Good,yellow,SI1,6.65,6.59,4.19,5025,Zircon
14/01/2018,1.22,Ideal,yellow,VS2,6.83,6.91,4.26,7923,Topaz
14/01/2018,0.5,Ideal,yellow,VVS1,5.1,5.13,3.18,1883,Sapphire
14/01/2018,0.55,Ideal,purple,VVS2,5.24,5.27,3.23,2294,Spinel
14/01/2018,0.41,Ideal,Green,VVS2,4.74,4.78,2.95,899,Alexandrite
14/01/2018,0.82,Premium,yellow,SI2,5.96,5.98,3.72,2456,Ruby
14/01/2018,0.39,Ideal,yellow,VS2,4.67,4.7,2.93,857,Alexandrite
14/01/2018,0.53,Very Good,White,VS2,5.2,5.27,3.19,1023,Cat's Eye
14/01/2018,0.51,Very Good,yellow,VVS2,5.13,5.18,3.18,1875,Topaz
14/01/2018,0.23,Very Good,purple,VS1,4.04,4.06,2.42,402,Ruby
14/01/2018,0.36,Premium,blue,VS2,4.59,4.54,2.8,1013,Zircon
14/01/2018,0.46,Good,red,VS2,4.89,4.92,3.1,1205,Zircon
15/01/2018,0.7,Good,Green,VVS1,5.6,5.66,3.53,2877,Ruby
15/01/2018,2.11,Premium,blue,SI2,8.19,8.1,5.08,18034,Topaz
15/01/2018,0.7,Premium,blue,SI1,5.81,5.79,3.46,2394,Spinel
15/01/2018,2.43,Ideal,Pink,SI2,8.54,8.61,5.34,17856,Alexandrite
15/01/2018,0.3,Ideal,blue,VS2,4.33,4.29,2.64,844,Ruby
15/01/2018,0.51,Very Good,yellow,VS1,5.08,5.13,3.2,1656,Spinel
15/01/2018,1.03,Premium,White,SI1,6.49,6.44,3.95,3749,Alexandrite
15/01/2018,0.7,Very Good,purple,VVS2,5.82,5.79,3.41,3234,Sapphire
15/01/2018,0.41,Premium,blue,VS1,4.83,4.88,2.91,1079,Ruby
15/01/2018,0.72,Ideal,purple,SI1,5.68,5.74,3.53,2440,Topaz
15/01/2018,0.77,Good,Green,SI1,5.82,5.74,3.64,2393,Spinel
15/01/2018,0.35,Ideal,Pink,VS1,4.59,4.54,2.78,709,Zircon
15/01/2018,0.38,Ideal,red,VS1,4.64,4.67,2.91,1067,Cat's Eye
15/01/2018,0.31,Premium,yellow,VS1,4.31,4.35,2.69,625,Spinel
15/01/2018,0.54,Ideal,yellow,VVS2,5.25,5.3,3.22,1985,Cat's Eye
15/01/2018,0.32,Ideal,yellow,VVS2,4.4,4.43,2.72,708,Zircon
15/01/2018,0.4,Ideal,red,SI1,4.74,4.78,2.94,772,Spinel
15/01/2018,0.35,Ideal,purple,VVS2,4.52,4.56,2.82,745,Alexandrite
15/01/2018,0.31,Very Good,blue,SI1,4.33,4.28,2.72,698,Topaz
15/01/2018,1.65,Ideal,White,SI1,7.59,7.54,4.73,8334,Spinel
16/01/2018,1.69,Ideal,purple,SI1,7.62,7.55,4.78,13872,Alexandrite
16/01/2018,0.33,Ideal,blue,VS1,4.45,4.48,2.73,850,Ruby
16/01/2018,0.52,Very Good,blue,VS1,5.31,5.38,3.16,1875,Alexandrite
16/01/2018,0.35,Very Good,Green,SI2,4.49,4.47,2.83,551,Zircon
16/01/2018,0.42,Very Good,purple,VS1,4.84,4.88,2.96,910,Sapphire
16/01/2018,0.7,Good,purple,SI1,5.63,5.6,3.6,2289,Sapphire
16/01/2018,0.9,Very Good,Pink,VS2,6.07,6.1,3.86,3489,Zircon
16/01/2018,0.71,Very Good,White,SI2,5.76,5.87,3.54,1986,Alexandrite
16/01/2018,0.84,Good,yellow,VS1,5.98,5.93,3.79,3316,Alexandrite
16/01/2018,0.54,Premium,red,SI1,5.21,5.12,3.23,1650,Alexandrite
16/01/2018,0.7,Ideal,Green,SI2,5.77,5.74,3.45,2142,Ruby
16/01/2018,0.57,Ideal,purple,VVS1,5.27,5.32,3.31,2682,Alexandrite
16/01/2018,0.56,Ideal,Pink,VS2,5.3,5.33,3.3,1237,Sapphire
16/01/2018,0.71,Premium,purple,VS1,5.71,5.67,3.57,2879,Spinel
16/01/2018,0.59,Ideal,Green,VS2,5.38,5.34,3.33,1648,Spinel
16/01/2018,0.41,Ideal,yellow,SI2,4.78,4.81,2.94,605,Cat's Eye
16/01/2018,1.04,Ideal,red,IF,6.49,6.52,4.02,14494,Ruby
16/01/2018,0.38,Premium,purple,VS2,4.72,4.67,2.86,1026,Topaz
16/01/2018,0.9,Very Good,red,SI1,6.11,6.15,3.83,4579,Ruby
16/01/2018,0.73,Ideal,blue,VS2,5.75,5.79,3.6,3201,Alexandrite
